1,In quale periodo è cacciabile   il coniglio selvatico ai sensi dell'art. 18 della legge 157/92?,dalla terza domenica di settembre al 31 gennaio,dalla terza domenica di settembre al 31 dicembre,"mai, si può fare solo attività di controllo",1
2,La minilepre è specie più gregaria del coniglio selvatico,false,vero ,non vi sono differenze tra le due specie,0
3,Quale specie tra minilepre e coniglio selvatico è mediamente di mole maggiore rispetto all'altra?,hanno pari dimensioni,coniglio selvatico,minilepre,1
4,Quale fra questi è un metodo ecologico di prevenzione dei danni da coniglio selvatico?,apposizione di lacci presso l'uscita delle tane,fucile a canna liscia cal. 12,apposizione di shelter attorno alle piantine messe a dimora,2
5,Quali articoli della legge 157/92 dispongono in merito al controllo della fauna selvatica?,articoli 19 e 19-bis,articoli 19 e 20,articoli 18 e 19,0
6,In Lombardia il coniglio selvatico è:,ubiquitario,piuttosto localizzato,distribuito solo vicino ai corsi d'acqua,1
7,Regione Lombardia deve chiedere il parere di Ispra sul piano di controllo dei Leporidi?,"sì, prima dell'approvazione del piano da parte della Giunta regionale","sì, dopo l'approvazione del piano da parte della Giunta regionale","no, non occorre il parere Ispra di per il piano di controllo dei leporidi",0
8,I mezzi di dissuasione incruenta presentano criticità in quanto:,non eliminano fisicamente la specie target,comportano assuefazione da parte della specie target e quindi perdono di efficacia,richiedono tutti una frequente manutenzione da parte dell'operatore,1
9,Che tipo di problematiche può provocare il coniglio selvatico?,danni all'agricoltura e al florovivaismo,danni all'agricoltura e ai monumenti cittadini,danni alle attività zootecniche,0
10,Dove è possibile attuare il piano di controllo del coniglio selvatico?,solo nel territorio a caccia programmata,sia nel territorio a caccia programmata che nelle zone a tutela come oasi di protezione e zone di ripopolamento e cattura,solo negli istituti venatori privati come aziende faunistico-venatorie e agri-turistico venatorie,1
11,Le tecniche di controllo diretto devono avere le seguenti caratteristiche:,efficacia ed economicità gestionale,efficacia e disturbo limitato,"selettività, efficacia, disturbo limitato",2
12,La l.r. 26/93 della Lombardia dispone in merito al controllo della fauna selvatica; in quale articolo?,articolo 21,articolo 31,articolo 41,2
13,Qual è la malattia ricorrente nelle colonie di coniglio selvatico che può causare elevatissima mortalità?,Mixomatosi,EBHS,Malattia di Lyme,0
14,"Tra le tipologie di malattie, è annoverata la zoonosi. Di che cosa si tratta?",di una malattia trasmissibile solo fra animali selvatici,di una malattia trasmissibile dagli animali selvatici all'uomo,di una malattia trasmissibile fra animali rinchiusi in spazi ristretti,1
15,A quale Famiglia appartiene il coniglio selvatico?,Mustelidi,Suidi,Leporidi,2
16,Il coniglio selvatico frequenta gli habitat forestali?,no,sì ma solo lungo i corsi d'acqua,sì ma solo con abbondante sottobosco,2
17,Il coniglio selvatico in Lombardia è specie:,autoctona,parautoctona,alloctona,1
18,Coniglio selvatico  e minilepre sono:,due specie differenti,l'uno sottospecie dell'altra,la stessa specie,0
19,La Polizia provinciale può avvalersi dei seguenti soggetti per effettuare il controllo del coniglio selvatico con arma da fuoco:,dei soli proprietari e conduttori dei fondi agricoli,degli operatori volontari appositamente abilitati e autorizzati,dei soli cacciatori,1
